datasets,seconds,minutes,numberRows,numberColumns
countries_and_continents.csv,82.075166179,1.3679194363166667,251,27
ipums_la_98-small.csv,164.551084385,2.742518073083333,7485,61
netflix_titles.csv,33.622128773,0.5603688128833333,6236,12
wikipedia-iso-country-codes.csv,14.676862714,0.24461437856666668,246,5
movies.csv,39.533222535,0.65888704225,6820,15
whr2015.csv,28.340994862,0.4723499143666666,158,12
who_suicide_statistics.csv,16.68739893,0.2781233155,43776,6
cwurData.csv,34.646884342,0.5774480723666666,2200,14
Netflix_Shows.csv,17.834153999,0.2972358999833334,1000,7
Word_University_Rank_2020.csv,41.2965233,0.6882753883333332,1396,16
phpRiBb0c.csv,36.082568785,0.6013761464166667,77,16
edu.csv,27.898761756,0.4649793626,15312,10
fifa_ranking.csv,50.017282957,0.8336213826166666,57793,16
gender_development.csv,35.061999646,0.5843666607666667,195,13
countries_of_the_world.csv,50.146912731,0.83578187885,227,20
dataset_1_anneal.csv,103.487985666,1.7247997611,898,39
World_countries_env_vars.csv,79.610926382,1.3268487730333334,243,28
song_data.csv,41.003256567,0.68338760945,18835,15
movie_metadata.csv,23.862318433,0.39770530721666664,4932,8
plasma_retinol.csv,36.451463364,0.6075243894,315,14
billboard_lyrics_1964-2015.csv,18.620262652,0.31033771086666667,5100,6
